"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Elena Antonova","F","SBD","Raw",19.5,"20-23","Open",62.25,"63",95,100,-105,NA,100,47.5,50,-55,NA,50,110,115,122.5,NA,122.5,272.5,"1",295.33,304.19,260.82,470.5,"Yes","","FPR","2015-05-30","Russia","","Novosibirsk Classic Powerlifting & Bench Press Championship",950322,3
"Ed Coan","M","SBD","Single-ply",28,"24-34","Open",100,"100",417.5,435,-447.5,NA,435,232.5,242.5,247.5,NA,247.5,380,408.69,-417.5,NA,408.69,1091.19,"1",664.09,664.09,638.24,788.27,"","USA","APF","1991-07-26","USA","TX","Senior Nationals",139237,3
"赤澤 恋","F","SBD","Single-ply",16.5,"16-17","Open",52,"52",-110,-110,110,NA,110,80,82.5,-92.5,NA,82.5,100,110,112.5,NA,112.5,305,"2",380.22,410.64,337.04,476.18,"Yes","","JPA","2016-03-27","Japan","","Japanese High School & Sub-Juniors Powerlifting Championships",57285,3
"Setiowati Yuni","F","SBD","Single-ply",22.5,"20-23","Juniors",47.45,"48",-140,140,-150,NA,140,-75,75,77.5,NA,77.5,140,150,167.5,NA,167.5,385,"1",514.22,514.22,458.07,599.7,"Yes","Indonesia","AsianPF","2007-05-02","Taiwan","","Asian Powerlifting Championships",1370079,3
"Michael Tuchscherer","M","SBD","Single-ply",24.5,"24-34","HW",122.3,"125",385,405,-420,NA,405,265,-275,275,NA,275,355,372.5,-390,NA,372.5,1052.5,"1",602.52,602.52,574.51,689.25,"Yes","USA","NAPF","2010-03-06","USA","OH","Quest Pro Invitational",1377298,3
"Stephanie Harnock","F","SBD","Raw",38,"35-39","F_SR_AAPF",73.7,"75",90,102.5,-110,NA,102.5,45,50,52.5,NA,52.5,112.5,122,-130,NA,122,277,"2",266.27,266.27,234.37,446.31,"Yes","","CPF","2018-06-23","Canada","ON","National Championships",1221517,3
"Marshall Messmer","M","SBD","Single-ply",16.5,"16-17","M-T",115.26,"125",210.9,224.5,235.9,NA,235.9,97.5,106.6,-113.4,NA,106.6,238.1,265.4,272.2,NA,272.2,614.6,"2",356.9,385.45,341.23,436.03,"Yes","USA","USAPL","2016-03-11","USA","WI","WHSPA State Meet",677657,3
"Josef Pollendorfer","M","SBD","Multi-ply",54,"50-54","M3",109.1,"110",260,280,-300,NA,280,180,-190,NA,NA,180,230,250,-262.5,NA,250,710,"2",418.9,504.35,401.4,509.07,"","Austria","WPC","2005-11-03","Finland","","World Championships",1249182,4
"Ken Trommel","M","SBD","Multi-ply",47,"45-49","M2-E",107.7,"110",270,285,300,NA,300,-190,-190,-190,NA,NA,260,275,-290,NA,275,NA,"DQ",NA,NA,NA,NA,"","Canada","CPF","2017-05-06","Canada","BC","Nationals and Western Canadian Championships",1221861,9
"Sergiy Toporen","M","SBD","Raw",25.5,"24-34","Amateur Open",67.1,"67.5",150,-165,-165,NA,150,102.5,107.5,NA,NA,107.5,130,-140,-140,NA,130,387.5,"1",300.2,300.2,291.24,419.94,"Yes","Ukraine","WPAU","2013-03-28","Ukraine","","Open Ukraine Championships",1270679,4
"Beate Amdahl","F","SBD","Single-ply",22.5,"20-23","",59.3,"60",180,195,-201,NA,195,-82.5,-82.5,82.5,NA,82.5,167.5,-177.5,-177.5,NA,167.5,445,"2",500.66,500.66,442.43,610.94,"Yes","Norway","EPF","1992-11-29","Sweden","","Women's European Powerlifting Championships",144444,3
"Patrick Sedlacek","M","SBD","Raw",36.5,"35-39","MR-O",102,"105",-160,160,165,NA,165,100,107.5,115,NA,115,165,175,185,NA,185,465,"2",280.82,280.82,269.72,384.84,"Yes","","USAPL","2018-08-04","USA","IN","22nd Street Barbell Open",733526,3
"Alexander Scopa","M","SBD","Raw",17.5,"18-19","MR-V",82.7,"83",135,-142.5,145,NA,145,72.5,80,85,NA,85,175,190,197.5,NA,197.5,427.5,"5",285.97,303.13,276.07,401.69,"Yes","","USAPL","2019-03-10","USA","MA","9rd Annual Ryan Moore New England States Open High School Championship",708366,3
"Vasiliy Kuzovatov","M","SBD","Single-ply",43.5,"40-44","Open",89.65,"90",270,280,285,NA,285,180,190,195,NA,195,270,280,NA,NA,280,760,"8",486.15,501.22,468.53,600.1,"Yes","","FPR","2007-01-25","Russia","","Central District Powerlifting Championships",961283,4
"Daniel Galata","M","SBD","Raw",25,"24-34","M_O_R_ABPU",82.5,"82.5",180,195,-215,NA,195,100,110,-120,NA,110,190,210,-225,NA,210,515,"1",345,345,333.07,502.12,"Yes","UK","WPC","2019-01-26","England","","Alan Collins Cup and South Coast Qualifier",1240299,3
"DJ Pascone","M","SBD","Raw",29.5,"24-34","MR-O",72.1,"74",117.5,132.5,-137.5,NA,132.5,80,-85,-85,NA,80,165,-182.5,-182.5,NA,165,377.5,"15",276.69,276.69,267.9,383.62,"Yes","","USAPL","2015-12-04","USA","","14th Annual American Open Powerlifting Championships",687297,3
"Gene Bell","M","SBD","Single-ply",31,"24-34","Open",82.5,"82.5",327.5,345,367.5,NA,367.5,207.5,220,232.5,NA,232.5,317.5,332.5,-355,NA,332.5,932.5,"1",624.69,624.69,603.08,758.66,"","USA","USPF","1988-02-17","USA","CA","Armed Forces Championships",88639,3
"Evan McCloy","M","SBD","Raw",29.5,"24-34","Open",88,"93",190,202.5,-210,NA,202.5,140,147.5,152.5,NA,152.5,190,207.5,-215,NA,207.5,562.5,"2",363.32,363.32,350.29,532.15,"Yes","Australia","PA","2017-03-11","Australia","NSW","NSPC Open 1",205900,3
"Alan Tepper","M","SBD","Raw",69.5,"65-69","MR-M4a",81.3,"83",147.5,157.5,162.5,NA,162.5,105,112.5,115,NA,115,200,207.5,212.5,NA,212.5,490,"1",331.18,533.21,319.82,478.63,"Yes","USA","USAPL","2015-06-27","USA","WA","Seattle Summer Classic",691897,3
"Mike Heard","M","BD","Raw",50.5,"50-54","MR-M2a",88.7,"93",NA,NA,NA,NA,NA,60,65,67.5,NA,67.5,115,125,132.5,NA,132.5,200,"1",128.64,145.36,124.01,NA,"Yes","","USAPL","2018-01-27","USA","MT","Butte Barbell Push/Pull",712448,8
"Andrey Egorov","M","SBD","Single-ply",35.5,"35-39","Open",125.01,"125+",-290,-290,300,NA,300,-220,220,230,NA,230,290,310,-325,NA,310,840,"6",478.66,478.66,455.93,554.79,"Yes","","FPR","2006-09-19","Russia","","Russian Powerlifting Cup",947145,3
"Ivan Gruber","M","SBD","Wraps",29.5,"24-34","Open",105.7,"",155,162.5,-165,NA,162.5,155,-160,-160,NA,155,227.5,-235,235,NA,235,552.5,"5",329.39,329.39,316,462.72,"","Czechia","FCST","2018-06-29","Czechia","","Otevřené mezinárodní mistrovství ČR v silovém trojboji",915147,3
"Lyubov Kuzmina","F","SBD","Raw",21,"20-23","Amateur Open",55.7,"56",-115,115,-120,NA,115,45,50,-52.5,NA,50,115,-122.5,-122.5,NA,115,280,"2",330.84,337.46,292.67,509.54,"","","WPA","2018-01-01","Russia","","CIS Championship",1211025,3
"Aimee Perry","F","SBD","Raw",22.5,"20-23","FR-C",49.81,"52",-67.5,-72.5,-72.5,NA,NA,37.5,40,-45,NA,40,85,90,97.5,NA,97.5,NA,"DQ",NA,NA,NA,NA,"Yes","","USAPL","2018-04-19","USA","TX","Collegiate Nationals",736057,9
"Brittany Margot","F","SBD","Raw",27.5,"24-34","FR-O",69.7,"72",100,105,107.5,NA,107.5,52.5,55,57.5,NA,57.5,125,132.5,137.5,NA,137.5,302.5,"2",301.83,301.83,266.09,498.99,"Yes","","USAPL","2018-02-24","USA","CA","Boss of Norcal 6 Winter Championship",733900,3
"Veikko Männistö","M","SBD","Raw",76.5,"75-79","Over 70",90.6,"93",25,NA,NA,NA,25,25,NA,NA,NA,25,45,NA,NA,NA,45,95,"1",60.44,113.39,58.24,17.71,"Yes","Finland","SVNL","2017-11-04","Finland","","Jäsentenvälinen klassinen voimanosto",1013183,9
"Tatyana Novikova","F","SBD","Raw",19,"18-19","Pro Teen 18-19",49,"52",60,65,-70,NA,65,35,-40,-40,NA,35,75,85,-90,NA,85,185,"2",241.3,250.95,214.5,344.31,"","","WPC-RUS","2018-02-25","Russia","","Saratov Open Championship",1208627,3
"Seiry Morales","F","SBD","Raw",22.5,"20-23","FR-Jr",45.8,"47",80,87.5,92.5,NA,92.5,40,42.5,47.5,NA,47.5,87.5,100,-105,NA,100,240,"1",328.78,328.78,293.71,476.65,"Yes","","USAPL","2019-02-23","USA","MI","3D Fit BarBellum",686532,3
"Manjusha Das","F","SBD","Wraps",30,"24-34","FOR",67.2,"67.5",87.5,95,100,NA,100,42.5,-47.5,-47.5,NA,42.5,100,110,117.5,NA,117.5,260,"2",266.21,266.21,234.85,434.06,"","","UPA","2018-12-08","USA","IL","War of the Demigods",1357615,3
"Irina Esperester","F","SBD","Raw",31.5,"24-34","Open",69.3,"72",115,-122.5,-125,NA,115,70,75,-80,NA,75,120,130,-135,NA,130,320,"9",320.58,320.58,282.65,529.61,"Yes","","BVDK","2019-03-29","Germany","","DM Kraftdreikampf Classic Aktive / Senioren",11300,3
"Sarah Redman","F","SBD","Raw",16.5,"16-17","Open",70.8,"72",87.5,92.5,100,NA,100,45,47.5,50,NA,50,122.5,130,-140,NA,130,280,"3",276.4,298.51,243.57,458.39,"Yes","","NZPF","2017-06-10","New Zealand","AKL","North Island Powerlifting Championships",929829,3
"Geordan Cover","M","SBD","Raw",23.5,"24-34","MR-O",90.7,"93",210,-220,220,NA,220,135,140,-142.5,NA,140,245,260,-272.5,NA,260,620,"1",394.26,394.26,379.87,583.44,"Yes","","USAPL","2017-05-06","USA","OH","STS Ohio Spring Classic",684275,3
"Dominic Sardo","M","SBD","Single-ply",32.5,"24-34","",74.1,"75",255,-270,270,NA,270,167.5,175,-180,NA,175,250,-265,-265,NA,250,695,"6",499.44,499.44,483.25,619.47,"Yes","","IPF","1991-11-14","Sweden","","Men's World Powerlifting Championships",88804,3
"Joe Minor","M","SBD","Multi-ply",17,"16-17","T 16-17",100.9,"110",227.5,250,-260,NA,250,147.5,162.5,-170,NA,162.5,215,230,-240,NA,230,642.5,"2",389.64,420.81,374.37,484.55,"Yes","","APF","2006-03-11","USA","IL","IL State meet",617648,3
"Justin Ernst","M","SBD","Raw",15,"13-15","Youth B",64.3,"66",85,92.5,100,NA,100,60,-65,-65,NA,60,120,130,-140,NA,130,290,"1",232.72,274.61,226.11,304.38,"Yes","","BVDK","2013-05-04","Germany","BB","DMM Jugend und Junioren",10546,3
"Aleksey Nikulin","M","SBD","Raw",36,"35-39","Open",79.9,"82.5",332.5,-347.5,-347.5,NA,332.5,170,-175,NA,NA,170,-300,300,315,NA,315,817.5,"1",558.55,558.55,539.57,865.29,"","Russia","IPL","2018-12-06","Russia","","World Championships",868143,4
"Louis Ruiz Jr","M","SBD","Multi-ply",37,"35-39","SM",85.8,"90",200,220,-230,NA,220,182.5,185,187.5,NA,187.5,182.5,195,-205,NA,195,602.5,"1",394.56,394.56,380.61,499.76,"","","APF","2014-03-15","USA","IL","IL State Meet",623990,3
"Claire McKenzie","F","SBD","Single-ply",23.5,"24-34","F-Jr",83.3,"84",230,-241,-241,NA,230,-150,150,-158,NA,150,210,-227.5,-227.5,NA,210,590,"1",528.35,528.35,462.18,674.93,"Yes","USA","USAPL","2018-02-11","USA","CO","Colorado State Championships",722234,3
"Matt Rehan","M","SBD","Raw",18,"18-19","O",109.25,"110",227.5,272.5,-280,NA,272.5,165,185,-190,NA,185,227.5,-250,-262.5,NA,227.5,685,"4",403.97,428.21,387.08,582.39,"Yes","","USAPL","2008-07-25","USA","MO","Raw Nationals",189721,3
"Iuliia Koshurina","F","SBD","Single-ply",46.5,"45-49","Masters 1",73.83,"84",80,90,100,NA,100,70,75,80,NA,80,90,110,-130,NA,110,290,"3",278.45,297.38,245.08,402.17,"Yes","Russia","EPF","2015-07-14","Czechia","","European Masters Powerlifting Championships",779177,3
"Adrian Blanton","M","SBD","Raw",18.5,"18-19","MR-C",77.6,"83",137.5,147.5,152.5,NA,152.5,87.5,97.5,107.5,NA,107.5,157.5,167.5,182.5,NA,182.5,442.5,"7",308.1,320.42,297.81,438.91,"Yes","","USAPL","2018-12-08","USA","NE","Warrior Collegiate Open",745405,3
"Armin Ehinger","M","SBD","Single-ply",59,"55-59","Masters 3",113.6,"120",-210,-215,215,NA,215,140,145,-150,NA,145,210,-220,220,NA,220,580,"2",338.13,444.65,323.48,417.34,"Yes","","BVDK","2017-02-10","Germany","BB","DM KDK Equipped",9268,3
"Rob Quinlivan","M","SBD","Raw",22.5,"20-23","Juniors",103.2,"105",230,245,255,NA,255,135,-145,150,NA,150,250,270,-282.5,NA,270,675,"1",405.86,405.86,389.68,592.62,"Yes","","NZPF","2016-11-05","New Zealand","AKL","Auckland Powerlifting Club Competition",925848,3
"Anna Ryzhkova","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",51.6,"52",157.5,170,180,NA,180,80,85,90,NA,90,150,160,167.5,NA,167.5,437.5,"1",548.66,581.58,486.49,641.2,"Yes","Russia","IPF","2004-08-09","South Africa","","World Sub-Juniors & Juniors Powerlifting Championships",1043279,3
"Dmytro Rozhanskyy","M","SBD","Wraps",13,"13-15","Amateur Teenagers 13-15",59.95,"60",90,100,105,NA,105,52.5,57.5,60,NA,60,95,110,-117.5,NA,110,275,"1",234.72,300.44,228.71,303.63,"","Ukraine","WPA","2018-05-17","Ukraine","","World Championship",1271969,3
"Josef Weiß","M","SBD","Single-ply",61,"60-64","Masters 3",88.15,"93",-140,-140,140,NA,140,80,90,-95,NA,90,190,-217.5,-217.5,NA,190,420,"3",271.03,370.23,261.31,360.6,"Yes","Germany","BVDK","2016-02-21","Germany","BY","DM KDK Equipped",18996,3
"Mikhail Ushakov","M","SBD","Single-ply",20,"20-23","Open",74,"75",200,210,-220,NA,210,100,107.5,-112.5,NA,107.5,190,-210,-210,NA,190,507.5,"6",365.05,376,353.23,469.46,"","Russia","WPC-RUS","2007-05-05","Russia","","Saratov Championships",1205039,3
"Chance Wolfe","M","SBD","Raw",24.5,"24-34","MR-O",91.5,"93",205,217.5,-225,NA,217.5,120,127.5,-132.5,NA,127.5,260,280,-300,NA,280,625,"5",395.71,395.71,381.2,585.46,"Yes","","USAPL","2019-04-13","USA","MO","Springfield Showdown",678358,3
"Seiko Omori","F","SBD","Single-ply",48,"45-49","Masters 1",52,"52",-110,-110,110,NA,110,57.5,62.5,-65,NA,62.5,117.5,127.5,135,NA,135,307.5,"1",383.34,420.52,339.8,479.25,"Yes","Japan","JPA","2000-06-11","Japan","","Japanese Master's Nationals",47422,3
"Andrew Chastain","M","SBD","Wraps",23,"20-23","MOR",89,"90",100,NA,NA,NA,100,160,-170,-170,NA,160,265,277.5,285,NA,285,545,"3",349.93,349.93,337.3,509.04,"","","UPA","2018-09-22","USA","IL","Illinois State & Midwest Powerlifting Championships",1363310,5
"Angie McNamara","F","SBD","Wraps",43,"40-44","FM-1",74.5,"75",172.5,-177.5,177.5,NA,177.5,100,105,107.5,NA,107.5,200,205,-210,NA,205,490,"1",467.78,482.28,411.58,788.01,"","Ireland","IrishPO","2016-01-01","Ireland","","Charity Championships",1256832,3
"Timo Mikkonen","M","SBD","Raw",17.5,"18-19","Under 20",58.5,"59",80,NA,NA,NA,80,57.5,NA,NA,NA,57.5,110,NA,NA,NA,110,247.5,"1",216.09,229.05,210.81,271.3,"Yes","Finland","SVNL","2016-09-17","Finland","","Syyskuun Power-Cup klassinen voimanosto",1008526,9
"Kavyasree Katugam","F","SBD","Raw",22.5,"20-23","FR-O",61.6,"63",92.5,97.5,105,NA,105,37.5,42.5,-45,NA,42.5,125,135,137.5,NA,137.5,285,"4",311.36,311.36,275.01,495.23,"Yes","","USAPL","2018-05-06","USA","CT","Connecticut State Championship and May Showdown",723896,3
"Peter Katsuleas","M","SBD","Raw",18,"18-19","M_VrR_AAPF",81.6,"82.5",192.5,210,-227.5,NA,210,122.5,135,-147.5,NA,135,195,212.5,230,NA,230,575,"1",387.76,411.02,374.43,574.88,"","USA","APF","2017-04-22","USA","IL","IL High School Championships",614523,3
"Andre Wells","M","SBD","Wraps",30,"24-34","MO-R",81.35,"82.5",125,-135,-135,NA,125,75,85,-100,NA,85,130,145,165,NA,165,375,"2",253.36,253.36,244.67,346.23,"","","CPF","2018-05-05","Canada","SK","Nationals & Western Canadian Championships",1222520,3
"Tadashi Shiraishi","M","SBD","Single-ply",22.5,"20-23","Juniors",55.2,"56",180,-187.5,-187.5,NA,180,-122.5,122.5,-127.5,NA,122.5,185,195,-200,NA,195,497.5,"5",459.36,459.36,449.57,564.88,"Yes","Japan","IPF","2003-09-09","Poland","","World Juniors Powerlifting Championships",1047149,3
"Oleksandr Topuz","M","SBD","Single-ply",29.5,"24-34","Open",132.8,"120+",-320,320,330,NA,330,210,-225,225,NA,225,312.5,322.5,NA,NA,322.5,877.5,"3",494.47,494.47,469.61,561.44,"Yes","","UkrainePF","2012-02-23","Ukraine","","Ukrainian Powerlifting Championship",30611,4
"Brian Emejuru","M","SBD","Raw",27.5,"24-34","MR-O",91.9,"93",187.5,195,210,NA,210,-137.5,145,-157.5,NA,145,192.5,210,235,NA,235,590,"11",372.76,372.76,359.05,546.36,"Yes","","USAPL","2018-06-09","USA","VA","Battle at the Beach",748130,3
"Oleksiy Solovyov","M","SBD","Single-ply",18,"18-19","Open",89.8,"90",250,265,275,NA,275,170,180,185,NA,185,250,270,-275,NA,270,730,"6",466.56,494.55,449.63,578.14,"Yes","Ukraine","UkrainePF","1993-02-18","Ukraine","","Ukrainian Powerlifting Championships",25069,3
"Michael Czop","M","SBD","Raw",60.5,"60-64","MR-M3",100.47,"105",165,-175,-175,NA,165,70,75,-77.5,NA,75,170,177.5,187.5,NA,187.5,427.5,"4",259.69,347.98,249.54,350.5,"Yes","","USAPL","2017-10-10","USA","FL","Raw National Championships",699852,3
"Shannon Brown","M","SBD","Raw",39.5,"35-39","MR-O",132.4,"120+",-125,125,-147.5,NA,125,-80,97.5,-102.5,NA,97.5,-170,200,205,NA,205,427.5,"3",241.02,241.02,228.93,294.02,"Yes","","USAPL","2015-07-11","USA","NY","Liberty Games",698074,3
"Tadashi Shiraishi","M","SBD","Single-ply",34.5,"24-34","Open",56.45,"59",170,180,-185,NA,180,135,142.5,147.5,NA,147.5,180,190,200,NA,200,527.5,"2",476.48,476.48,465.72,584.5,"Yes","Japan","AsianPF","2015-07-20","Hong Kong","","Asian Powerlifting Championships",1371831,3
"Lena Sjøl","F","SBD","Single-ply",15.5,"16-17","Open",51,"52",85,92.5,-95,NA,92.5,-65,65,67.5,NA,67.5,110,117.5,-122.5,NA,117.5,277.5,"2",351.15,396.8,311.51,446,"Yes","Norway","NSF","2013-05-31","Norway","","NM",580945,3
"Bob Weber","M","SBD","Wraps",49,"45-49","MOR-AD",138.2,"140",280,-290,-290,NA,280,167.5,-175,175,NA,175,280,290,-295,NA,290,745,"2",417.13,464.26,395.41,562.14,"Yes","","UPA","2017-04-22","USA","IA","Powerlifting and Bench Press National Championship",1360891,3
"Ryan Marek","M","SBD","Raw",21.5,"20-23","MR-Jr",92.2,"93",195,200,-205,NA,200,130,-135,-135,NA,130,220,227.5,-232.5,NA,227.5,557.5,"8",351.67,355.18,338.71,510.49,"Yes","","USAPL","2018-12-01","USA","TX","Collegiate Cup & Texas Open",738557,3
"Pavel Temenko","M","SBD","Raw",22.5,"20-23","J",76.4,"82.5",160,180,-190,NA,180,95,102.5,110,NA,110,150,160,-170,NA,160,450,"1",316.61,316.61,306.13,453.05,"","","WPU-RUS","2017-12-16","Russia","","Russia Open Championships",1019056,3
"Sophia Krafcik","F","SBD","Raw",18.5,"18-19","FR-T3",61.7,"63",80,85,-90,NA,85,40,45,-52.5,NA,45,87.5,95,-102.5,NA,95,225,"2",245.51,255.33,216.84,386.74,"Yes","","USAPL","2018-02-03","USA","CA","Spartan Open",684832,3
"Tom Evill","M","SBD","Single-ply",21,"20-23","Juniors",81.5,"82.5",205,210,220,NA,220,92.5,97.5,-102.5,NA,97.5,240,250,-257.5,NA,250,567.5,"1",382.99,390.65,369.83,488.35,"Yes","Australia","PA","2010-05-22","Australia","NSW","Singleton Strength Triathlon",213699,3
"Stanislav Pryakhin","M","SBD","Single-ply",19,"18-19","Juniors",67.3,"67.5",195,205,-210,NA,205,-115,-115,115,NA,115,215,-222.5,222.5,NA,222.5,542.5,"3",419.27,436.04,406.73,528.84,"Yes","Russia","UkrainePF","1994-04-11","Ukraine","","Ukrainian Junior Powerlifting Championships",39121,3
